epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.157,0.60031,0.78886,1.01306,0.82164,0.75344,0.85408,0.67973,0.85172,1.04812,1.25328,0.00108088,0.00108088,0.00108088
43,335.148,0.67142,0.85935,1.09362,0.78983,0.9375,0.97058,0.75676,0.77764,0.87283,1.17093,0.00107675,0.00107675,0.00107675
44,342.252,0.64701,0.82227,1.04938,0.77115,0.97179,0.95608,0.81396,0.65842,0.73648,1.09738,0.00107263,0.00107263,0.00107263
45,350.036,0.67492,0.87641,1.04519,0.89537,0.7332,0.91128,0.76386,0.68509,0.87682,1.09297,0.0010685,0.0010685,0.0010685
46,356.223,0.65063,0.78304,1.04869,0.93886,0.89124,0.96299,0.79769,0.68123,0.74474,1.11586,0.00106437,0.00106437,0.00106437
47,363.942,0.60701,0.73608,1.04649,0.97368,1,0.995,0.83368,0.66654,0.55176,1.07606,0.00106025,0.00106025,0.00106025
48,369.676,0.60819,0.73175,1.02672,0.91274,0.96485,0.98447,0.84927,0.58481,0.74482,1.02325,0.00105612,0.00105612,0.00105612
49,378.069,0.61411,0.69445,1.06762,0.7648,0.8554,0.83503,0.62834,0.91387,1.76408,1.25597,0.001052,0.001052,0.001052
50,384.199,0.60589,0.72933,1.03394,0.85626,1,0.98167,0.85163,0.6252,0.78571,1.02649,0.00104787,0.00104787,0.00104787
51,392.303,0.59721,0.78411,1.01997,0.79831,0.88742,0.84026,0.72687,0.63319,1.09174,1.01129,0.00104375,0.00104375,0.00104375
52,399.15,0.59355,0.74931,1.04007,0.77082,0.90385,0.77897,0.67634,0.64309,1.48756,1.09525,0.00103962,0.00103962,0.00103962
53,407.376,0.55174,0.71289,0.99648,0.9823,0.9998,0.995,0.86218,0.52923,0.56896,1.03036,0.0010355,0.0010355,0.0010355
54,413.992,0.56974,0.6973,1.02137,0.85257,1,0.98964,0.80093,0.63612,0.73838,1.04532,0.00103138,0.00103138,0.00103138
55,421.526,0.57909,0.72745,0.98382,0.89737,0.96252,0.9886,0.83485,0.62903,0.69939,1.03065,0.00102725,0.00102725,0.00102725
56,428.157,0.58175,0.70456,0.98909,0.94618,0.90797,0.98668,0.84552,0.55385,0.60737,1.01758,0.00102312,0.00102312,0.00102312
57,435.559,0.57434,0.72915,1.02244,0.93012,1,0.987,0.83742,0.61459,0.70553,1.01592,0.001019,0.001019,0.001019
58,441.475,0.58168,0.70768,1.01331,0.9856,0.94826,0.995,0.84786,0.62187,0.57881,1.05086,0.00101488,0.00101488,0.00101488
59,450.288,0.57902,0.68373,1.01261,0.96603,0.9302,0.97877,0.80402,0.7494,0.76916,1.19426,0.00101075,0.00101075,0.00101075
60,456.452,0.59905,0.72692,1.04557,0.91332,0.96154,0.94376,0.75424,0.71343,0.76831,1.14206,0.00100663,0.00100663,0.00100663
