epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,645.999,0.91735,0.72698,0.98162,0.93303,0.94449,0.95919,0.69939,0.98111,0.72097,1.05646,0.000960682,0.000960682,0.000960682
43,661.733,0.89414,0.72253,0.96987,0.93045,0.86781,0.95064,0.68223,1.00505,0.72015,1.07782,0.000957015,0.000957015,0.000957015
44,677.507,0.88086,0.68246,0.95183,0.94724,0.93377,0.95443,0.72195,0.90588,0.64556,1.00611,0.000953349,0.000953349,0.000953349
45,692.12,0.93248,0.70694,0.97722,0.92775,0.92629,0.94728,0.69201,0.97141,0.69039,1.04056,0.000949683,0.000949683,0.000949683
46,707.728,0.90227,0.68435,0.96574,0.96788,0.93489,0.97499,0.76236,0.83739,0.61612,0.98726,0.000946016,0.000946016,0.000946016
47,723.655,0.89183,0.70983,0.97633,0.98509,0.93613,0.97736,0.76516,0.86648,0.59177,0.97917,0.00094235,0.00094235,0.00094235
48,739.795,0.86398,0.67661,0.94339,0.96101,0.96508,0.98142,0.75618,0.8786,0.57651,0.98602,0.000938684,0.000938684,0.000938684
49,755.012,0.87985,0.68128,0.94878,0.94107,0.96757,0.97874,0.76514,0.8136,0.57071,0.95454,0.000935018,0.000935018,0.000935018
50,770.664,0.86003,0.65851,0.9501,0.96235,0.95447,0.97066,0.73357,0.92515,0.55358,1.00369,0.000931351,0.000931351,0.000931351
51,785.409,0.86583,0.62754,0.93742,0.98455,0.94674,0.96905,0.76037,0.86513,0.54576,0.98419,0.000927685,0.000927685,0.000927685
52,800.325,0.85395,0.65856,0.95847,0.98177,0.96635,0.98179,0.74098,0.84181,0.58645,0.9748,0.000924019,0.000924019,0.000924019
53,815.639,0.87189,0.65077,0.95374,0.95043,0.92638,0.95477,0.73794,0.86268,0.62348,0.9868,0.000920352,0.000920352,0.000920352
54,830.099,0.88081,0.65981,0.95261,0.92674,0.90666,0.96735,0.7438,0.87276,0.63057,0.98108,0.000916686,0.000916686,0.000916686
55,845.358,0.82454,0.63218,0.94293,0.92472,0.86026,0.93193,0.70956,0.92494,0.69213,1.00796,0.00091302,0.00091302,0.00091302
56,859.834,0.80462,0.62942,0.94128,0.98704,0.95151,0.96759,0.79044,0.76011,0.5108,0.93513,0.000909353,0.000909353,0.000909353
57,875.14,0.84034,0.646,0.95168,0.94053,0.91875,0.9715,0.74532,0.87046,0.60526,0.98555,0.000905687,0.000905687,0.000905687
58,890.394,0.84002,0.64294,0.94301,0.93599,0.93878,0.97831,0.7559,0.83313,0.65001,0.97322,0.000902021,0.000902021,0.000902021
59,904.837,0.82001,0.61261,0.93454,0.96308,0.95676,0.9729,0.78736,0.78685,0.53422,0.93392,0.000898355,0.000898355,0.000898355
60,919.749,0.80931,0.60325,0.93574,0.96443,0.95167,0.98247,0.78011,0.82881,0.55979,0.96125,0.000894688,0.000894688,0.000894688
61,936.92,0.8215,0.62494,0.93886,0.99086,0.95973,0.98537,0.79096,0.79487,0.53016,0.94315,0.000891022,0.000891022,0.000891022
62,952.732,0.80308,0.59647,0.91343,0.98984,0.94551,0.98446,0.75588,0.91443,0.53339,0.99392,0.000887356,0.000887356,0.000887356
63,967.954,0.81505,0.58467,0.93382,0.98615,0.95682,0.96488,0.79012,0.75223,0.5043,0.93054,0.000883689,0.000883689,0.000883689
64,983.152,0.8122,0.61906,0.93494,0.93872,0.98919,0.98284,0.78252,0.80087,0.52044,0.97422,0.000880023,0.000880023,0.000880023
65,998.747,0.79166,0.59112,0.91969,0.96463,0.90148,0.95371,0.77139,0.81009,0.57521,0.96551,0.000876357,0.000876357,0.000876357
66,1013.29,0.80291,0.60023,0.92418,0.97131,0.9408,0.9693,0.7962,0.74118,0.53434,0.92481,0.000872691,0.000872691,0.000872691
67,1029.08,0.78491,0.56491,0.923,0.98358,0.94054,0.97939,0.77034,0.81035,0.56027,0.95606,0.000869024,0.000869024,0.000869024
68,1043.57,0.77647,0.56631,0.91187,0.9898,0.95211,0.96625,0.79663,0.75431,0.52225,0.94082,0.000865358,0.000865358,0.000865358
69,1059.77,0.75763,0.57004,0.91074,0.96872,0.96757,0.96965,0.79315,0.7843,0.52524,0.9488,0.000861692,0.000861692,0.000861692
70,1074.33,0.77367,0.56487,0.91895,0.9894,0.96757,0.96584,0.79318,0.74256,0.5059,0.93246,0.000858025,0.000858025,0.000858025
71,1089.26,0.74303,0.54736,0.91864,0.98395,0.96757,0.98099,0.80056,0.75537,0.51193,0.93204,0.000854359,0.000854359,0.000854359
72,1105.19,0.74107,0.56806,0.90801,0.99128,0.95143,0.979,0.79212,0.74971,0.50816,0.93564,0.000850693,0.000850693,0.000850693
73,1120.09,0.73898,0.54616,0.91316,0.99048,0.96204,0.98179,0.83764,0.64327,0.48549,0.89823,0.000847026,0.000847026,0.000847026
74,1136.61,0.74391,0.5455,0.91048,0.97552,0.96388,0.96676,0.81128,0.7167,0.51306,0.91858,0.00084336,0.00084336,0.00084336
75,1152.32,0.73386,0.53182,0.90726,0.99052,0.96655,0.97957,0.81208,0.7054,0.48777,0.90855,0.000839694,0.000839694,0.000839694
76,1167.15,0.73994,0.54161,0.91284,0.95279,0.96301,0.9889,0.83565,0.68878,0.47389,0.90819,0.000836027,0.000836027,0.000836027
77,1182.28,0.76649,0.57956,0.91873,0.94918,0.96474,0.97875,0.79142,0.73315,0.49925,0.92406,0.000832361,0.000832361,0.000832361
78,1197.18,0.69047,0.5109,0.89675,0.98784,0.98326,0.98565,0.82311,0.68231,0.45894,0.91381,0.000828695,0.000828695,0.000828695
79,1212.09,0.7165,0.52558,0.90189,0.97488,0.98628,0.98611,0.81865,0.70424,0.4691,0.91857,0.000825029,0.000825029,0.000825029
80,1226.83,0.79488,0.57422,0.92677,0.92483,0.98212,0.98295,0.81996,0.74025,0.49175,0.92003,0.000821362,0.000821362,0.000821362
81,1243.02,0.75372,0.54896,0.9043,0.94611,0.98725,0.98027,0.82045,0.68584,0.45467,0.90419,0.000817696,0.000817696,0.000817696
82,1258.03,0.70913,0.50973,0.90125,0.95895,0.98919,0.98601,0.8299,0.65895,0.45706,0.89577,0.00081403,0.00081403,0.00081403
83,1272.71,0.7081,0.52358,0.88548,0.99038,0.96991,0.98647,0.80233,0.71682,0.49427,0.91973,0.000810363,0.000810363,0.000810363
84,1287.67,0.72347,0.53785,0.90193,0.98673,0.9573,0.98397,0.81937,0.68566,0.46283,0.91383,0.000806697,0.000806697,0.000806697
85,1303.4,0.72362,0.5293,0.90226,0.99278,0.96757,0.97287,0.80476,0.68308,0.47699,0.90248,0.000803031,0.000803031,0.000803031
86,1318.27,0.72555,0.5118,0.90681,0.99627,0.9627,0.98384,0.81909,0.69012,0.46282,0.90781,0.000799365,0.000799365,0.000799365
87,1333.5,0.72756,0.52297,0.90499,0.98544,0.98919,0.99044,0.84735,0.6473,0.44979,0.89324,0.000795698,0.000795698,0.000795698
88,1349.77,0.69988,0.51014,0.89467,0.98988,0.96142,0.99262,0.81305,0.7048,0.46744,0.90772,0.000792032,0.000792032,0.000792032
89,1363.99,0.70491,0.52334,0.89544,0.93665,0.96386,0.98478,0.79406,0.79089,0.53223,0.94728,0.000788366,0.000788366,0.000788366
90,1378.81,0.67459,0.49707,0.89075,0.97615,0.91365,0.9864,0.82126,0.65499,0.51872,0.9072,0.000784699,0.000784699,0.000784699
91,1394.48,0.65752,0.48375,0.87525,0.98387,0.96631,0.99053,0.84454,0.65374,0.45572,0.89272,0.000781033,0.000781033,0.000781033
92,1409.09,0.67226,0.4807,0.88602,0.97347,0.96757,0.9771,0.84219,0.61649,0.4563,0.88183,0.000777367,0.000777367,0.000777367
93,1424.88,0.70137,0.51345,0.89547,0.97241,0.96757,0.99066,0.85013,0.6095,0.43094,0.87448,0.0007737,0.0007737,0.0007737
94,1440.39,0.66867,0.47801,0.88266,0.97614,0.96757,0.97393,0.80721,0.72794,0.45415,0.92387,0.000770034,0.000770034,0.000770034
95,1455.07,0.65992,0.46955,0.8821,0.99173,0.96829,0.99127,0.84356,0.66827,0.43455,0.89119,0.000766368,0.000766368,0.000766368
96,1469.77,0.66134,0.49152,0.8749,0.97622,0.95947,0.98406,0.82637,0.6698,0.4608,0.89131,0.000762702,0.000762702,0.000762702
97,1485.03,0.67081,0.48625,0.87309,0.98673,0.96796,0.99287,0.83722,0.6426,0.42256,0.88359,0.000759035,0.000759035,0.000759035
98,1500.21,0.66828,0.49011,0.87665,0.98771,0.98919,0.98993,0.84911,0.61789,0.42246,0.87615,0.000755369,0.000755369,0.000755369
99,1516.55,0.63234,0.4709,0.87859,0.98967,0.98919,0.99449,0.87576,0.56213,0.3894,0.86117,0.000751703,0.000751703,0.000751703
100,1531.93,0.64198,0.47382,0.87845,0.98627,0.98919,0.98618,0.87496,0.57628,0.41579,0.86702,0.000748036,0.000748036,0.000748036
101,1548.65,0.65864,0.48105,0.87883,0.99361,0.96757,0.98535,0.86797,0.58171,0.39299,0.86586,0.00074437,0.00074437,0.00074437
102,1563.49,0.63805,0.46711,0.88701,0.99041,0.96868,0.995,0.84828,0.64719,0.41064,0.88544,0.000740704,0.000740704,0.000740704
103,1578.19,0.6741,0.48447,0.8754,0.96095,0.99567,0.995,0.83569,0.64519,0.40908,0.89031,0.000737037,0.000737037,0.000737037
104,1593.03,0.64051,0.47155,0.87739,0.97594,0.98919,0.99449,0.86968,0.57645,0.39428,0.85559,0.000733371,0.000733371,0.000733371
105,1608.29,0.66456,0.47454,0.87362,0.99033,0.99002,0.995,0.86343,0.562,0.38423,0.8592,0.000729705,0.000729705,0.000729705
106,1623.41,0.64399,0.46417,0.87353,0.98692,0.96388,0.99212,0.82781,0.67292,0.41626,0.89564,0.000726038,0.000726038,0.000726038
107,1637.78,0.64509,0.46542,0.87038,0.96996,0.95213,0.98918,0.85082,0.61885,0.44662,0.879,0.000722372,0.000722372,0.000722372
108,1652.84,0.60192,0.43485,0.86296,0.98427,0.98919,0.99322,0.86444,0.60157,0.38552,0.87217,0.000718706,0.000718706,0.000718706
109,1667.84,0.59465,0.43612,0.85938,0.9818,0.98378,0.98789,0.8643,0.59502,0.39542,0.8682,0.00071504,0.00071504,0.00071504
110,1682.96,0.65424,0.45364,0.86781,0.97674,0.98919,0.98791,0.84286,0.63995,0.4159,0.88352,0.000711373,0.000711373,0.000711373
111,1698.59,0.61658,0.45124,0.88336,0.99208,0.98919,0.99322,0.85621,0.62632,0.39908,0.88778,0.000707707,0.000707707,0.000707707
112,1714.75,0.63363,0.4568,0.87568,0.99533,0.98919,0.99212,0.85502,0.60323,0.38594,0.87345,0.000704041,0.000704041,0.000704041
113,1729.52,0.63842,0.46027,0.87233,0.9906,0.98919,0.99087,0.84862,0.62265,0.40691,0.87748,0.000700374,0.000700374,0.000700374
114,1744.66,0.65265,0.46925,0.88755,0.99232,0.98919,0.98596,0.86943,0.55585,0.38596,0.85739,0.000696708,0.000696708,0.000696708
115,1759.95,0.59271,0.43381,0.85714,0.99201,0.98778,0.98593,0.8773,0.57725,0.38285,0.86997,0.000693042,0.000693042,0.000693042
116,1774.75,0.59278,0.44042,0.86135,0.99146,0.98953,0.995,0.87805,0.56296,0.38666,0.86093,0.000689376,0.000689376,0.000689376
117,1789.86,0.64723,0.45533,0.8651,0.98805,0.98919,0.99185,0.84834,0.59439,0.38705,0.87159,0.000685709,0.000685709,0.000685709
118,1804.82,0.61682,0.45656,0.86497,0.98539,0.98919,0.99225,0.85165,0.60519,0.41301,0.87365,0.000682043,0.000682043,0.000682043
119,1818.76,0.61315,0.45683,0.85993,0.97257,0.97735,0.98838,0.86848,0.55476,0.40499,0.85852,0.000678377,0.000678377,0.000678377
120,1834.17,0.6149,0.44081,0.8775,0.98296,0.9715,0.9869,0.87621,0.55663,0.38747,0.8611,0.00067471,0.00067471,0.00067471
121,1848.85,0.59596,0.43943,0.86691,0.97526,0.98919,0.98573,0.8621,0.58757,0.38388,0.87508,0.000671044,0.000671044,0.000671044
122,1865.2,0.63088,0.45377,0.87806,0.97938,0.96909,0.98527,0.86001,0.5918,0.39319,0.87788,0.000667378,0.000667378,0.000667378
123,1880.28,0.59383,0.41991,0.85958,0.98804,0.98919,0.99304,0.88087,0.56961,0.36239,0.87614,0.000663711,0.000663711,0.000663711
124,1895.59,0.59511,0.42902,0.86958,0.9919,0.98919,0.99304,0.88146,0.53112,0.36513,0.85752,0.000660045,0.000660045,0.000660045
125,1910.91,0.60648,0.42529,0.86962,0.98787,0.97603,0.99425,0.88335,0.56685,0.37827,0.86695,0.000656379,0.000656379,0.000656379
126,1926.49,0.61178,0.44398,0.85235,0.97029,0.97007,0.99121,0.86601,0.55984,0.40127,0.8584,0.000652712,0.000652712,0.000652712
127,1942.24,0.59643,0.43788,0.86265,0.98581,0.94917,0.98965,0.86594,0.5693,0.38734,0.86632,0.000649046,0.000649046,0.000649046
128,1957.18,0.604,0.43631,0.87467,0.99524,0.96757,0.99203,0.88386,0.54932,0.36714,0.85878,0.00064538,0.00064538,0.00064538
129,1972.14,0.5968,0.44108,0.86684,0.98351,0.99367,0.995,0.87276,0.59411,0.36841,0.86936,0.000641714,0.000641714,0.000641714
