epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2669.66,1.19323,1.24021,1.29549,0.30005,0.48092,0.36698,0.18707,1.77517,2.99697,2.09201,0.00104231,0.00104231,0.00104231
43,2708.99,1.17924,1.37765,1.45465,0.4876,0.63619,0.56228,0.32178,1.3861,3.14924,1.76623,0.00103288,0.00103288,0.00103288
44,2748.61,1.16937,1.24746,1.34097,0.54539,0.6669,0.57225,0.38357,1.18363,3.01714,1.5032,0.00102345,0.00102345,0.00102345
45,2788.26,1.19651,1.29414,1.37541,0.6039,0.76865,0.74192,0.51267,1.02616,1.76648,1.36861,0.00101402,0.00101402,0.00101402
46,2832.75,1.12888,1.20087,1.3117,0.86193,0.72168,0.8403,0.59936,1.05225,1.18405,1.38113,0.00100459,0.00100459,0.00100459
47,2872.9,1.26281,1.32211,1.38666,0.72415,0.81605,0.82202,0.55659,1.10463,1.34035,1.41013,0.000995156,0.000995156,0.000995156
48,2912.52,1.04282,1.10852,1.2282,0.84986,0.80347,0.88386,0.6353,0.93862,1.36499,1.25398,0.000985724,0.000985724,0.000985724
49,2952.23,1.05994,1.07673,1.27692,0.82022,0.84024,0.88307,0.63882,0.94253,1.36253,1.24304,0.000976293,0.000976293,0.000976293
50,2992.11,1.05734,1.03998,1.24269,0.76765,0.82887,0.87256,0.65255,0.95615,1.26475,1.24127,0.000966861,0.000966861,0.000966861
51,3033.35,1.14225,1.21678,1.42859,0.83514,0.86975,0.9194,0.6577,1.02297,1.154,1.29975,0.00095743,0.00095743,0.00095743
52,3073.64,0.92529,1.02148,1.178,0.84201,0.87404,0.94601,0.68816,0.98179,0.99709,1.26035,0.000947999,0.000947999,0.000947999
53,3113.82,0.9661,1.0907,1.18411,0.91108,0.82493,0.93502,0.66306,0.96789,0.95542,1.2408,0.000938567,0.000938567,0.000938567
54,3153.41,1.08533,1.27871,1.32255,0.85182,0.91083,0.94618,0.68969,0.95573,0.88197,1.23806,0.000929136,0.000929136,0.000929136
55,3193.24,1.03794,1.10985,1.27018,0.81844,0.88422,0.92093,0.65306,1.02009,0.94751,1.28097,0.000919704,0.000919704,0.000919704
56,3233.82,1.26632,1.29944,1.43636,0.81591,0.83932,0.91481,0.66319,1.01193,0.9773,1.27628,0.000910273,0.000910273,0.000910273
57,3273.56,1.0965,1.17459,1.2289,0.84826,0.72307,0.89812,0.69352,0.93516,0.96223,1.22749,0.000900842,0.000900842,0.000900842
58,3313.55,1.20609,1.22213,1.37656,0.85573,0.79277,0.89001,0.61886,0.95372,1.00191,1.25665,0.00089141,0.00089141,0.00089141
59,3353.98,1.10197,1.13138,1.28795,0.83553,0.85523,0.90296,0.62166,0.92725,0.97985,1.23456,0.000881979,0.000881979,0.000881979
60,3394.37,1.07565,1.06497,1.26614,0.90595,0.83123,0.90421,0.64161,0.9541,1.00792,1.23762,0.000872547,0.000872547,0.000872547
61,3433.98,1.07881,0.99189,1.27527,0.80851,0.87166,0.91453,0.62768,0.92422,1.02424,1.20771,0.000863116,0.000863116,0.000863116
62,3474.27,1.09857,1.33238,1.35745,0.83995,0.85152,0.91227,0.68721,0.9007,0.96345,1.18002,0.000853685,0.000853685,0.000853685
63,3514.03,0.94905,1.0521,1.20868,0.84674,0.86841,0.92381,0.71192,0.92543,0.8908,1.24749,0.000844253,0.000844253,0.000844253
64,3554.03,1.0067,1.06804,1.23131,0.94017,0.85283,0.92999,0.69106,0.94272,0.86276,1.26345,0.000834822,0.000834822,0.000834822
65,3595.46,1.04815,1.06357,1.2744,0.90144,0.89364,0.9414,0.74097,0.85157,0.81838,1.19211,0.00082539,0.00082539,0.00082539
66,3635.51,0.85725,0.93603,1.16296,0.82295,0.90559,0.93652,0.76166,0.7997,0.83067,1.14053,0.000815959,0.000815959,0.000815959
67,3675.71,1.06427,1.09921,1.21377,0.81572,0.93578,0.97118,0.76239,0.80119,0.81341,1.12688,0.000806528,0.000806528,0.000806528
68,3714.54,0.88418,0.92782,1.18556,0.89263,0.89149,0.96372,0.74127,0.85051,0.80067,1.16118,0.000797096,0.000797096,0.000797096
69,3754.05,1.0656,0.98262,1.27867,0.84686,0.81289,0.91798,0.68858,0.92598,0.92493,1.21254,0.000787665,0.000787665,0.000787665
70,3793.65,0.99479,1.04322,1.23923,0.82612,0.80165,0.90131,0.67415,0.943,1.00875,1.22307,0.000778233,0.000778233,0.000778233
71,4079.02,0.96686,0.9738,1.23352,0.77649,0.74537,0.88905,0.68416,0.91129,1.04064,1.21264,0.000768802,0.000768802,0.000768802
72,4121.64,1.00916,1.037,1.18832,0.78116,0.80683,0.87565,0.69124,0.86264,1.00394,1.18737,0.000759371,0.000759371,0.000759371
73,4160.94,0.90449,0.9182,1.23935,0.92092,0.81028,0.91537,0.73832,0.79468,0.83965,1.14944,0.000749939,0.000749939,0.000749939
74,4200.45,0.85699,0.99269,1.22001,0.87954,0.85898,0.9195,0.74593,0.77678,0.84755,1.12766,0.000740508,0.000740508,0.000740508
75,4240.51,0.89816,0.95656,1.1713,0.93253,0.80944,0.93475,0.74445,0.80743,0.82469,1.13132,0.000731076,0.000731076,0.000731076
76,4281.36,0.94492,1.07314,1.16259,0.94339,0.86808,0.95471,0.7608,0.79067,0.7383,1.11467,0.000721645,0.000721645,0.000721645
77,4321.41,0.91246,0.91065,1.18742,0.93401,0.93839,0.96721,0.76838,0.77933,0.69486,1.10961,0.000712214,0.000712214,0.000712214
78,4362.71,0.96249,0.92543,1.19557,0.95895,0.85764,0.97111,0.77754,0.78139,0.69677,1.12711,0.000702782,0.000702782,0.000702782
79,4403.08,0.86035,0.9019,1.21862,0.93633,0.94057,0.97966,0.79245,0.76716,0.69159,1.12551,0.000693351,0.000693351,0.000693351
80,4446.32,0.86412,0.84171,1.17052,0.89339,0.89856,0.97416,0.79294,0.76534,0.73839,1.12017,0.000683919,0.000683919,0.000683919
81,4487.22,1.06267,1.00374,1.31728,0.92834,0.81365,0.96025,0.78283,0.77557,0.84198,1.11559,0.000674488,0.000674488,0.000674488
82,4526.52,0.94142,0.94183,1.20062,0.88014,0.87991,0.95542,0.76688,0.78088,0.83315,1.12321,0.000665057,0.000665057,0.000665057
83,4565.84,0.7944,0.86429,1.09037,0.87194,0.91637,0.9792,0.80604,0.69561,0.72492,1.06588,0.000655625,0.000655625,0.000655625
84,4605.84,0.87476,0.99649,1.14312,0.93079,0.90485,0.97735,0.7961,0.70209,0.70517,1.06932,0.000646194,0.000646194,0.000646194
85,4645.41,0.86436,0.95142,1.18256,0.94206,0.89967,0.96935,0.78055,0.72426,0.70943,1.08069,0.000636762,0.000636762,0.000636762
86,4685.29,0.76666,0.84222,1.08586,0.92492,0.89406,0.9715,0.78652,0.71748,0.7059,1.07798,0.000627331,0.000627331,0.000627331
87,4725.05,0.8923,0.9434,1.15893,0.93267,0.88741,0.97843,0.80953,0.67427,0.67104,1.05589,0.0006179,0.0006179,0.0006179
88,4765.14,0.92006,0.89654,1.16303,0.9538,0.88682,0.97732,0.82243,0.62429,0.65808,1.0098,0.000608468,0.000608468,0.000608468
89,4806.09,0.81873,0.91098,1.08845,0.98192,0.92736,0.98735,0.84226,0.61713,0.62041,0.99901,0.000599037,0.000599037,0.000599037
90,4845.86,0.83232,0.78784,1.13508,0.96802,0.96628,0.99162,0.83678,0.6479,0.59994,1.01158,0.000589605,0.000589605,0.000589605
91,4885.25,0.82452,0.86812,1.18748,0.98107,0.97718,0.99313,0.82942,0.64855,0.6,1.01709,0.000580174,0.000580174,0.000580174
92,4924.42,0.75275,0.78221,1.05068,0.97005,0.96915,0.99352,0.83296,0.64323,0.60349,1.01519,0.000570743,0.000570743,0.000570743
93,4965.2,0.82534,0.77568,1.11943,0.95702,0.95787,0.99034,0.83473,0.65569,0.60789,1.03041,0.000561311,0.000561311,0.000561311
94,5004.79,0.80961,0.83937,1.1311,0.95235,0.95036,0.98216,0.82641,0.66771,0.61919,1.04673,0.00055188,0.00055188,0.00055188
95,5043.46,0.83233,0.79164,1.117,0.95879,0.93391,0.98216,0.82117,0.67105,0.61791,1.04818,0.000542448,0.000542448,0.000542448
96,5083.33,0.88551,0.80331,1.18864,0.9895,0.89955,0.98407,0.81345,0.68328,0.61003,1.04867,0.000533017,0.000533017,0.000533017
97,5122.66,0.74559,0.73482,1.08208,0.97945,0.94943,0.98905,0.82877,0.64153,0.5775,1.02228,0.000523586,0.000523586,0.000523586
98,5161.99,0.83257,0.80002,1.12823,0.98128,0.97329,0.99078,0.87682,0.57375,0.53285,0.98206,0.000514154,0.000514154,0.000514154
99,5201.44,0.80738,0.88727,1.08143,0.96373,0.97203,0.99181,0.86945,0.59479,0.51761,0.98127,0.000504723,0.000504723,0.000504723
100,5240.37,0.77025,0.77438,1.09465,0.96403,0.96791,0.99333,0.88289,0.58472,0.5045,0.9771,0.000495291,0.000495291,0.000495291
101,5280.33,0.8235,0.73052,1.17575,0.97798,0.96227,0.99333,0.87442,0.58383,0.50843,0.97569,0.00048586,0.00048586,0.00048586
102,5321.69,0.84313,0.84324,1.13426,0.94596,0.96137,0.98911,0.85718,0.60584,0.54619,0.98578,0.000476429,0.000476429,0.000476429
103,5361.71,0.83778,0.84168,1.0952,0.97697,0.99934,0.9937,0.86888,0.53929,0.49067,0.96786,0.000466997,0.000466997,0.000466997
104,5400.89,0.72042,0.68072,1.07993,0.9714,0.96959,0.99442,0.87738,0.54384,0.50047,0.96676,0.000457566,0.000457566,0.000457566
105,5440.96,0.83855,0.76787,1.13953,0.94529,0.96307,0.98775,0.86713,0.5416,0.5254,0.96871,0.000448134,0.000448134,0.000448134
106,5481.37,0.74068,0.76087,1.11888,0.95955,0.93607,0.98444,0.8635,0.53565,0.5468,0.97051,0.000438703,0.000438703,0.000438703
107,5520.06,0.80349,0.82906,1.18043,0.97889,0.93881,0.98852,0.85939,0.54467,0.5358,0.97431,0.000429272,0.000429272,0.000429272
108,5560.01,0.87478,0.81423,1.28925,0.99146,0.99338,0.995,0.86097,0.56145,0.48954,0.97466,0.00041984,0.00041984,0.00041984
109,5599.54,0.81293,0.80935,1.1074,0.99447,0.98688,0.995,0.86335,0.55933,0.48983,0.97934,0.000410409,0.000410409,0.000410409
110,5639.05,0.83841,0.77824,1.12927,0.98671,0.98485,0.99442,0.86366,0.5673,0.48798,0.98706,0.000400977,0.000400977,0.000400977
111,5678,0.70609,0.66129,1.04643,0.98473,0.98485,0.99442,0.85122,0.58996,0.50045,1.00181,0.000391546,0.000391546,0.000391546
112,5717.65,0.74799,0.6801,1.09475,0.98591,0.96539,0.99442,0.84906,0.58718,0.50321,1.0062,0.000382115,0.000382115,0.000382115
113,5757.74,0.61925,0.65207,1.00206,0.97164,0.97298,0.99442,0.87836,0.54443,0.4985,0.97942,0.000372683,0.000372683,0.000372683
114,5797.14,0.62464,0.63497,0.99214,0.96728,0.98485,0.99442,0.88685,0.51144,0.48644,0.95972,0.000363252,0.000363252,0.000363252
115,5836.64,0.66963,0.71207,1.0524,0.97946,0.97006,0.99311,0.88947,0.47926,0.47706,0.94235,0.00035382,0.00035382,0.00035382
116,5876.83,0.77381,0.81039,1.12773,0.98196,0.98985,0.995,0.89164,0.46195,0.45638,0.92896,0.000344389,0.000344389,0.000344389
117,5995.09,0.7577,0.71477,1.09329,0.98327,0.98378,0.99442,0.89056,0.47497,0.45024,0.92945,0.000334958,0.000334958,0.000334958
118,6036.46,0.60314,0.67041,1.00029,0.99397,0.98568,0.995,0.89123,0.51186,0.45565,0.94112,0.000325526,0.000325526,0.000325526
119,6078.01,0.70182,0.68571,1.10449,0.9939,0.98485,0.99442,0.88504,0.5101,0.45139,0.93976,0.000316095,0.000316095,0.000316095
120,6118.48,0.76438,0.82112,1.14024,0.98164,0.98485,0.99442,0.88261,0.50632,0.45871,0.93755,0.000306663,0.000306663,0.000306663
121,6157.97,0.7305,0.6809,1.07238,0.9731,0.97412,0.99421,0.88445,0.50712,0.46578,0.93377,0.000297232,0.000297232,0.000297232
122,6197.82,0.81908,0.72769,1.12328,0.98795,0.95299,0.99265,0.87814,0.51799,0.46372,0.93734,0.000287801,0.000287801,0.000287801
123,6237.55,0.75156,0.75296,1.15877,0.97358,0.9866,0.995,0.85797,0.52619,0.47169,0.94676,0.000278369,0.000278369,0.000278369
124,6277.3,0.76489,0.69996,1.08116,0.96668,0.98869,0.995,0.8572,0.52214,0.46677,0.94861,0.000268938,0.000268938,0.000268938
125,6316.85,0.67565,0.61518,1.06331,0.96252,1,0.995,0.86335,0.5201,0.46039,0.94889,0.000259506,0.000259506,0.000259506
126,6356,0.7529,0.77987,1.0915,0.96336,0.99819,0.995,0.87233,0.51432,0.45376,0.94611,0.000250075,0.000250075,0.000250075
127,6397.01,0.65209,0.70037,1.0425,0.96344,0.99849,0.995,0.87432,0.51272,0.45371,0.94019,0.000240644,0.000240644,0.000240644
128,6436.96,0.70322,0.63543,1.15458,0.99054,0.98151,0.995,0.89415,0.48261,0.43053,0.924,0.000231212,0.000231212,0.000231212
129,6476.82,0.59595,0.61269,0.99709,0.98974,0.98909,0.995,0.90006,0.46623,0.41887,0.91706,0.000221781,0.000221781,0.000221781
130,6517.77,0.69333,0.71431,1.07336,0.99019,0.99682,0.995,0.89817,0.46415,0.41592,0.91565,0.000212349,0.000212349,0.000212349
131,6558.39,0.61367,0.5974,1.02631,0.98849,1,0.995,0.9061,0.46269,0.41488,0.91419,0.000202918,0.000202918,0.000202918
132,6600.66,0.59949,0.59269,0.99553,0.99116,1,0.995,0.90381,0.46083,0.41781,0.91242,0.000193487,0.000193487,0.000193487
133,6640.67,0.61144,0.61654,1.01151,0.99484,0.98728,0.995,0.92265,0.44238,0.41671,0.90636,0.000184055,0.000184055,0.000184055
134,6682.01,0.51672,0.48037,0.97006,0.99282,0.98719,0.995,0.92438,0.4338,0.41872,0.90317,0.000174624,0.000174624,0.000174624
135,6721.69,0.57906,0.65762,1.03943,0.99224,0.99216,0.995,0.92698,0.4268,0.41289,0.89969,0.000165192,0.000165192,0.000165192
136,6761.18,0.56918,0.57687,1.01207,0.99466,1,0.995,0.92945,0.42404,0.40757,0.89574,0.000155761,0.000155761,0.000155761
137,6801.4,0.63552,0.61624,0.99802,0.9962,0.99819,0.995,0.93139,0.43115,0.39981,0.89591,0.00014633,0.00014633,0.00014633
138,6840.53,0.53339,0.51658,0.96962,0.99385,0.99811,0.995,0.93076,0.42374,0.39405,0.8907,0.000136898,0.000136898,0.000136898
139,6879.83,0.53591,0.4972,0.96083,0.99318,0.99799,0.995,0.93142,0.41699,0.38936,0.88855,0.000127467,0.000127467,0.000127467
140,6919.7,0.66806,0.61911,1.04603,0.99253,0.99783,0.995,0.93174,0.41124,0.38827,0.88627,0.000118035,0.000118035,0.000118035
141,6960.65,0.50194,0.48719,0.92944,0.99215,0.99763,0.995,0.92842,0.40771,0.38387,0.88533,0.000108604,0.000108604,0.000108604
142,7000.44,0.46045,0.44655,0.93299,0.99175,0.99751,0.995,0.93133,0.40158,0.3848,0.88213,9.91726e-05,9.91726e-05,9.91726e-05
143,7039.83,0.49578,0.49621,0.93318,0.99382,0.99373,0.995,0.93097,0.39616,0.38788,0.87801,8.97412e-05,8.97412e-05,8.97412e-05
144,7080.02,0.50463,0.46463,0.98572,0.99477,0.99235,0.995,0.93625,0.3928,0.38925,0.87643,8.03098e-05,8.03098e-05,8.03098e-05
145,7120.34,0.49494,0.49342,0.95112,0.99457,0.99315,0.995,0.93463,0.38933,0.38831,0.87463,7.08784e-05,7.08784e-05,7.08784e-05
146,7159.4,0.61412,0.50157,1.13755,0.99152,0.997,0.995,0.93804,0.38528,0.38672,0.87244,6.1447e-05,6.1447e-05,6.1447e-05
147,7198.42,0.50377,0.43941,0.91972,0.99344,0.99537,0.995,0.94162,0.38059,0.38577,0.87108,5.20156e-05,5.20156e-05,5.20156e-05
148,7238.15,0.45603,0.43363,0.93239,0.99385,0.99572,0.995,0.93809,0.37593,0.38152,0.86849,4.25842e-05,4.25842e-05,4.25842e-05
149,7278.31,0.43031,0.435,0.90811,0.99355,0.9958,0.995,0.93779,0.37261,0.3816,0.8671,3.31528e-05,3.31528e-05,3.31528e-05
150,7664.38,0.39443,0.39006,0.89129,0.99322,0.99598,0.995,0.93853,0.37088,0.37904,0.86604,2.37214e-05,2.37214e-05,2.37214e-05
