epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,863.722,0.99373,0.83694,1.07626,0.91411,0.93091,0.95913,0.72825,0.9342,0.71543,1.21193,0.000786012,0.000786012,0.000786012
43,885.781,0.988,0.85078,1.1034,0.93752,0.94281,0.97064,0.74929,0.94815,0.69032,1.19759,0.000783013,0.000783013,0.000783013
44,905.65,0.95531,0.80227,1.08157,0.9675,0.87559,0.95572,0.72786,0.97472,0.68392,1.2403,0.000780013,0.000780013,0.000780013
45,925.884,1.01334,0.86308,1.10519,0.90464,0.91738,0.97725,0.73645,0.99362,0.68197,1.17458,0.000777013,0.000777013,0.000777013
46,944.838,0.94861,0.83236,1.07309,0.83059,0.83863,0.9161,0.61557,1.17517,1.00411,1.34575,0.000774013,0.000774013,0.000774013
47,966.938,0.92869,0.75749,1.06244,0.93609,0.89777,0.97099,0.71772,1.04979,0.74867,1.34628,0.000771014,0.000771014,0.000771014
48,986.823,0.93535,0.77186,1.05633,0.89459,0.87446,0.97046,0.738,0.92041,0.7128,1.22725,0.000768014,0.000768014,0.000768014
49,1007.27,0.93399,0.76871,1.07161,0.96387,0.94188,0.98714,0.78265,0.86588,0.60568,1.17125,0.000765014,0.000765014,0.000765014
50,1027.51,0.8938,0.73984,1.05878,0.99028,0.96115,0.98502,0.78283,0.86026,0.62481,1.16458,0.000762015,0.000762015,0.000762015
51,1047.35,0.91383,0.71236,1.07264,0.89837,0.95604,0.9758,0.74303,0.94201,0.81354,1.19505,0.000759015,0.000759015,0.000759015
52,1068.22,0.89324,0.72825,1.05679,0.91172,0.87511,0.95975,0.72146,1.01684,0.78461,1.28526,0.000756015,0.000756015,0.000756015
53,1087.26,0.90917,0.73793,1.05658,0.92387,0.8897,0.95119,0.72562,0.90305,0.69211,1.18724,0.000753016,0.000753016,0.000753016
54,1108.19,0.88573,0.71878,1.04648,0.92111,0.90859,0.95787,0.72176,0.94521,0.72593,1.16752,0.000750016,0.000750016,0.000750016
55,1127.86,0.90715,0.71927,1.05877,0.9684,0.96306,0.97015,0.75393,0.87953,0.6269,1.14567,0.000747016,0.000747016,0.000747016
56,1148.91,0.89787,0.71561,1.05159,0.93052,0.92624,0.95452,0.69953,0.96403,0.66791,1.21211,0.000744016,0.000744016,0.000744016
57,1168.57,0.88341,0.74975,1.05108,0.96469,0.93863,0.98179,0.7682,0.89203,0.6428,1.1272,0.000741017,0.000741017,0.000741017
58,1191.39,0.85822,0.6823,1.03813,0.98444,0.96753,0.97597,0.80338,0.76889,0.53538,1.10791,0.000738017,0.000738017,0.000738017
59,1211.73,0.82893,0.6871,1.02096,0.9893,0.95993,0.97783,0.78871,0.83242,0.56718,1.14704,0.000735017,0.000735017,0.000735017
60,1232.43,0.83966,0.6502,1.01568,0.94728,0.93825,0.98647,0.80753,0.76815,0.59689,1.11909,0.000732018,0.000732018,0.000732018
61,1252.57,0.83572,0.67496,1.03141,0.94703,0.9233,0.98456,0.80479,0.75901,0.57642,1.11138,0.000729018,0.000729018,0.000729018
62,1272.26,0.85944,0.68379,1.02239,0.87106,0.94136,0.95842,0.75894,0.80651,0.64815,1.1456,0.000726018,0.000726018,0.000726018
63,1293.29,0.85008,0.67998,1.01998,0.94259,0.97124,0.98206,0.79132,0.81568,0.63397,1.15449,0.000723019,0.000723019,0.000723019
64,1313.67,0.81894,0.66706,1.00809,0.98039,0.96104,0.9803,0.79095,0.77522,0.55513,1.12164,0.000720019,0.000720019,0.000720019
65,1334.49,0.81723,0.66973,1.01673,0.97724,0.97214,0.99104,0.84377,0.72985,0.51229,1.07411,0.000717019,0.000717019,0.000717019
66,1354.42,0.82283,0.63901,1.00756,0.97931,0.96723,0.99368,0.79125,0.86457,0.56578,1.12796,0.000714019,0.000714019,0.000714019
67,1375.38,0.83685,0.6375,1.02039,0.98257,0.9696,0.99317,0.80231,0.82179,0.53661,1.11593,0.00071102,0.00071102,0.00071102
68,1395.59,0.81815,0.64855,1.00897,0.918,0.98942,0.9921,0.81882,0.75028,0.62234,1.04925,0.00070802,0.00070802,0.00070802
69,1415.94,0.79974,0.61952,1.00487,0.89234,0.96753,0.99004,0.81142,0.78822,0.62513,1.12269,0.00070502,0.00070502,0.00070502
70,1435.86,0.8093,0.64613,1.00826,0.9228,0.9435,0.98674,0.81336,0.74619,0.55576,1.06404,0.000702021,0.000702021,0.000702021
71,1455.93,0.75083,0.61752,0.9802,0.97848,0.95237,0.98627,0.80871,0.71512,0.53802,1.03892,0.000699021,0.000699021,0.000699021
72,1476.77,0.7597,0.62349,0.97767,0.97382,0.96084,0.99388,0.8006,0.76909,0.50742,1.10117,0.000696021,0.000696021,0.000696021
73,1496.55,0.78753,0.62113,1.00532,0.95118,0.98079,0.99396,0.83339,0.72694,0.50822,1.08882,0.000693022,0.000693022,0.000693022
74,1519.94,0.7875,0.63673,1.01175,0.95846,0.92323,0.97814,0.78167,0.87732,0.58468,1.17889,0.000690022,0.000690022,0.000690022
75,1539.45,0.77027,0.62395,0.98203,0.93376,0.93403,0.98234,0.79883,0.78271,0.56322,1.07729,0.000687022,0.000687022,0.000687022
76,1560.35,0.7359,0.58673,0.9768,0.95268,0.93617,0.9818,0.81482,0.74966,0.59835,1.09112,0.000684022,0.000684022,0.000684022
77,1579.94,0.75046,0.57531,0.98495,0.98649,0.9602,0.99286,0.82318,0.72546,0.52322,1.07792,0.000681023,0.000681023,0.000681023
78,1601.12,0.74218,0.58452,0.98971,0.98336,0.9663,0.99388,0.82306,0.73382,0.49119,1.06047,0.000678023,0.000678023,0.000678023
79,1620.82,0.75704,0.5798,0.98165,0.97001,0.91594,0.99259,0.84617,0.67177,0.58587,1.002,0.000675023,0.000675023,0.000675023
80,1642.12,0.74689,0.60711,0.98921,0.95523,0.96331,0.995,0.84058,0.68138,0.52425,1.01516,0.000672024,0.000672024,0.000672024
81,1662.6,0.74286,0.57122,0.96908,0.98415,0.95745,0.995,0.84624,0.69546,0.50712,1.02309,0.000669024,0.000669024,0.000669024
82,1683.37,0.74535,0.55839,0.97939,0.94325,0.91666,0.98103,0.79798,0.77429,0.58861,1.03372,0.000666024,0.000666024,0.000666024
83,1703.58,0.71584,0.57698,0.97267,0.96604,0.93697,0.97608,0.7984,0.75731,0.53814,1.05347,0.000663025,0.000663025,0.000663025
84,1723.88,0.73963,0.59664,0.97363,0.95785,0.93893,0.97799,0.81211,0.74605,0.50458,1.0497,0.000660025,0.000660025,0.000660025
85,1744.95,0.71717,0.56702,0.96397,0.97551,1,0.995,0.86775,0.60443,0.44106,0.97997,0.000657025,0.000657025,0.000657025
